target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1248.92	1722	164.943
CLUG_00002T0	1425	929.738	760	97.7891
CLUG_00003T0	1767	1317.78	279	25.3278
CLUG_00004T0	1752	1230.87	385	37.4185
CLUG_00005T0	1113	535.662	271	60.5224
CLUG_00006T0	954	469.079	75	19.1273
CLUG_00007T0	1323	666.881	206	36.9536
CLUG_00008T0	1104	594.047	250	50.3451
CLUG_00009T0	873	440.153	440	119.588
CLUG_00010T0	750	379.459	405	127.681
CLUG_00011T0	1803	1331.8	936	84.0765
CLUG_00012T0	1413	860.362	131	18.2149
CLUG_00013T0	1518	893.648	559	74.8312
CLUG_00014T0	1086	612.742	126	24.5997
CLUG_00015T0	1638	995.308	40	4.80773
CLUG_00016T0	951	489.353	159	38.8698
CLUG_00017T0	1008	525.568	183	41.6543
CLUG_00018T0	1467	969.98	92	11.3465
CLUG_00019T0	1095	592.757	764	154.189
CLUG_00020T0	1014	559.654	1219	260.568
CLUG_00021T0	435	231.552	201	103.845
CLUG_00022T0	990	516.69	1089	252.136
CLUG_00023T0	453	226.246	1687	892.013
CLUG_00024T0	666	335.205	233	83.1538
CLUG_00025T0	1371	710.789	1579	265.753
CLUG_00026T0	4206	3074.8	1753	68.2027
CLUG_00027T0	1698	1072.04	152	16.9617
CLUG_00028T0	858	437.737	0	0
CLUG_00029T0	1359	803.92	787	117.111
CLUG_00030T0	594	297.913	9981	4007.95
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	1117.93	953	101.98
CLUG_00033T0	711	362.386	87	28.72
CLUG_00034T0	2391	1775.09	1356	91.3853
CLUG_00035T0	2817	2059.23	578	33.5784
CLUG_00036T0	5670	4350.44	334	9.18439
CLUG_00037T0	1224	762.425	259	40.6387
CLUG_00038T0	798	455.842	62	16.271
CLUG_00039T0	1191	672.838	200	35.5596
CLUG_00040T0	555	298.305	14	5.61442
CLUG_00041T0	1380	816.649	328	48.0481
CLUG_00042T0	1089	526.422	1899	431.547
CLUG_00043T0	2451	2071.61	498	28.758
CLUG_00044T0	2508	1961.57	530	32.3228
CLUG_00045T0	660	332.076	148	53.3164
CLUG_00046T0	1218	706.14	576	97.5819
CLUG_00047T0	1443	828.453	223	32.2014
CLUG_00048T0	1248	754.318	1079	171.121
CLUG_00049T0	1677	1071.57	1130	126.152
CLUG_00050T0	1374	732.562	411	67.1174
CLUG_00051T0	978	565.664	329	69.5785
CLUG_00052T0	4236	3356.67	2366	84.3225
CLUG_00053T0	1485	971.562	546	67.2295
CLUG_00054T0	1476	972.152	356	43.808
CLUG_00055T0	1056	591.395	260	52.5936
CLUG_00056T0	2169	1469.05	110	8.95761
CLUG_00057T0	1629	1115.08	2629	282.048
CLUG_00058T0	930	456.387	734	192.398
CLUG_00059T0	717	361.97	172	56.8451
CLUG_00060T0	1044	658.744	347	63.0159
CLUG_00061T0	960	614.231	141	27.4615
CLUG_00062T0	1170	571.222	234	49.0058
CLUG_00063T0	3522	2775.54	524	22.585
CLUG_00064T0	870	453.423	901	237.716
CLUG_00065T0	1035	505.845	670	158.451
CLUG_00066T0	2259	1398.9	586	50.1129
CLUG_00067T0	513	262.194	25	11.4065
CLUG_00068T0	1251	934.156	64	8.19593
CLUG_00069T0	1290	849.632	1136	159.95
CLUG_00070T0	804	447.948	197	52.6109
CLUG_00071T0	1314	757.659	401	63.3152
CLUG_00072T0	2151	1456.09	1214	99.7394
CLUG_00073T0	4293	3562.85	3075	103.249
CLUG_00074T0	1359	883.923	21	2.84212
CLUG_00075T0	990	538.393	1061	235.751
CLUG_00076T0	693	349.337	299	102.392
CLUG_00077T0	1938	1186.45	282	28.434
CLUG_00078T0	1086	613.427	4596	896.303
CLUG_00079T0	420	209.679	26	14.8339
CLUG_00080T0	2019	1323.5	905	81.8018
CLUG_00081T0	1542	898.129	372	49.5498
CLUG_00082T0	1464	923.43	304	39.3828
CLUG_00083T0	1581	997.734	764	91.6043
CLUG_00084T0	792	401.926	459	136.617
CLUG_00085T0	723	365.14	604	197.886
CLUG_00086T0	1629	1327.55	1304	117.507
CLUG_00087T0	1977	1355.78	534	47.1182
CLUG_00088T0	3246	2413.22	1494	74.0612
CLUG_00089T0	2217	1731.18	352	24.3242
CLUG_00090T0	1011	503.449	1129	268.272
CLUG_00091T0	960	529.047	539	121.88
CLUG_00092T0	450	224.737	354	188.437
CLUG_00093T0	1197	661.191	1460	264.158
CLUG_00094T0	555	277.926	199	85.6566
CLUG_00095T0	1509	1092.35	256	28.036
CLUG_00096T0	1032	517.45	642	148.424
CLUG_00097T0	2691	2054.95	1018	59.263
CLUG_00098T0	1398	861.202	342	47.5071
CLUG_00099T0	1839	1221.69	1156	113.197
CLUG_00100T0	852	434.455	104	28.6369
CLUG_00101T0	1290	802.836	401	59.7523
CLUG_00102T0	522	261.119	95	43.5233
CLUG_00103T0	807	410.009	842	245.672
CLUG_00104T0	570	285.597	146	61.1557
CLUG_00105T0	1662	1065.5	1012	113.623
CLUG_00106T0	2946	2004.66	382	22.7961
CLUG_00107T0	690	347.762	163	56.0715
CLUG_00108T0	501	250.469	479	228.78
CLUG_00109T0	1842	1252.14	64	6.11453
CLUG_00110T0	495	247.432	281	135.859
CLUG_00111T0	1737	1046.67	544	62.1765
CLUG_00112T0	621	311.834	537	206.01
CLUG_00113T0	894	449.56	492	130.923
CLUG_00114T0	687	347.341	1325.91	456.662
CLUG_00115T0	666	337.137	237.092	84.1293
CLUG_00116T0	3180	2201.86	2247	122.082
CLUG_00117T0	2385	1815.87	1097	72.2702
CLUG_00118T0	2070	1517.53	1401	110.443
CLUG_00119T0	891	492.135	137	33.3022
CLUG_00120T0	1467	1090.46	692	75.9161
CLUG_00121T0	2064	1552.55	801	61.7196
CLUG_00122T0	1017	534.568	563	125.992
CLUG_00123T0	1098	619.999	2368	456.907
CLUG_00124T0	3042	2242.88	1333	71.0988
CLUG_00125T0	471	235.311	455	231.316
CLUG_00126T0	852	434.455	1068	294.079
CLUG_00127T0	801	406.772	257	75.5822
CLUG_00128T0	669	336.771	133	47.2448
CLUG_00129T0	753	381.056	1393	437.32
CLUG_00130T0	540	270.275	1589	703.323
CLUG_00131T0	2982	2613.51	2913.21	133.348
CLUG_00132T0	852	434.455	927	255.254
CLUG_00133T0	564	282.526	931	394.211
CLUG_00134T0	1164	738.823	772	125.001
CLUG_00135T0	4077	3090.03	1161	44.9476
CLUG_00136T0	885	452.578	109	28.8118
CLUG_00137T0	1098	615.052	1270	247.019
CLUG_00138T0	1617	1023.82	1149	134.256
CLUG_00139T0	1683	1189.96	807	81.1293
CLUG_00140T0	588	294.829	414	167.984
CLUG_00141T0	1836	1188.15	1073	108.035
CLUG_00142T0	2829	2284.7	2121	111.058
CLUG_00143T0	3246	2135.47	263	14.7333
CLUG_00144T0	1464	1009.71	623	73.812
CLUG_00145T0	783	397.091	501	150.933
CLUG_00146T0	438	218.708	20	10.9397
CLUG_00147T0	1161	578.671	92	19.0193
CLUG_00148T0	216	108.248	0	0
CLUG_00149T0	3495	2444.26	1453	71.114
CLUG_00150T0	429	214.191	168	93.8309
CLUG_00151T0	456	227.756	3693	1939.76
CLUG_00152T0	879	462.426	18676	4831.46
CLUG_00153T0	1080	523.512	1505	343.912
CLUG_00154T0	1107	493.927	231	55.9482
CLUG_00155T0	1074	530.099	994	224.319
CLUG_00156T0	2124	1460.28	62	5.07917
CLUG_00157T0	597	299.456	131	52.333
CLUG_00158T0	1104	560.392	873	186.363
CLUG_00159T0	345	172.233	900	625.12
CLUG_00160T0	5313	4060.84	1259	37.0892
CLUG_00161T0	255	127.56	0	0
CLUG_00162T0	1941	1398.47	98	8.38323
CLUG_00163T0	1731	1114.82	1315	141.111
CLUG_00164T0	2106	1542.38	186	14.4264
CLUG_00165T0	2928	2159.03	2607	144.451
CLUG_00166T0	3483	3139.61	1063	40.5037
CLUG_00167T0	423	211.182	141	79.8729
CLUG_00168T0	1575	1211.06	904	89.2975
CLUG_00169T0	1080	713.227	268	44.9515
CLUG_00170T0	2031	1645.59	10423	757.718
CLUG_00171T0	1047	586.85	356.006	72.5719
