target_id	length	eff_length	est_counts	tpm
CLUG_00001T0	1842	1363.55	922	89.3105
CLUG_00002T0	1425	969.597	684	93.1764
CLUG_00003T0	1767	1391.38	294	27.9089
CLUG_00004T0	1752	1257.65	639	67.109
CLUG_00005T0	1113	589.647	240	53.7601
CLUG_00006T0	954	491.042	77	20.7116
CLUG_00007T0	1323	693.706	160	30.4639
CLUG_00008T0	1104	681.994	190	36.7971
CLUG_00009T0	873	464.777	244	69.3404
CLUG_00010T0	750	379.459	255	88.7598
CLUG_00011T0	1803	1379.33	574	54.965
CLUG_00012T0	1413	873.899	161	24.3336
CLUG_00013T0	1518	891.914	936	138.61
CLUG_00014T0	1086	646.064	207	42.319
CLUG_00015T0	1638	995.263	61	8.0953
CLUG_00016T0	951	489.353	371	100.137
CLUG_00017T0	1008	525.568	150	37.6967
CLUG_00018T0	1467	983.389	44	5.90974
CLUG_00019T0	1095	596.956	1058	234.091
CLUG_00020T0	1014	607.137	426	92.6753
CLUG_00021T0	435	237.405	299	166.35
CLUG_00022T0	990	516.509	984	251.628
CLUG_00023T0	453	226.246	2184	1275.01
CLUG_00024T0	666	336.382	262	102.875
CLUG_00025T0	1371	731.291	698	126.068
CLUG_00026T0	4206	3192.33	752	31.1137
CLUG_00027T0	1698	1335.47	167	16.5167
CLUG_00028T0	858	436.161	4	1.21131
CLUG_00029T0	1359	873.181	743	112.389
CLUG_00030T0	594	297.913	5416	2401.21
CLUG_00031T0	207	103.793	0	0
CLUG_00032T0	1227	1113.45	768	91.1027
CLUG_00033T0	711	364.072	57	20.679
CLUG_00034T0	2391	1795.46	3249	239.009
CLUG_00035T0	2817	2640.52	572	28.6119
CLUG_00036T0	5670	4657.21	842	23.8796
CLUG_00037T0	1224	804.707	175	28.7238
CLUG_00038T0	798	453.188	51	14.8639
CLUG_00039T0	1191	653.954	220	44.4341
CLUG_00040T0	555	301.272	11	4.82253
CLUG_00041T0	1380	827.367	255	40.7083
CLUG_00042T0	1089	527.768	1091	273.038
CLUG_00043T0	2451	2660.22	406	20.1581
CLUG_00044T0	2508	2227.67	464	27.5111
CLUG_00045T0	660	332.076	119	47.3315
CLUG_00046T0	1218	725.502	369	67.1783
CLUG_00047T0	1443	894.83	141	20.8123
CLUG_00048T0	1248	769.665	1111	190.657
CLUG_00049T0	1677	1074.12	1019	125.303
CLUG_00050T0	1374	726.895	469	85.2202
CLUG_00051T0	978	583.785	310	70.1374
CLUG_00052T0	4236	3636.58	1288	46.7804
CLUG_00053T0	1485	964.005	447	61.2448
CLUG_00054T0	1476	1073.06	114	14.0321
CLUG_00055T0	1056	580.245	132	30.0471
CLUG_00056T0	2169	1495.66	73	6.4466
CLUG_00057T0	1629	1107.15	1939	231.319
CLUG_00058T0	930	508.551	537	139.47
CLUG_00059T0	717	361.97	142	51.8151
CLUG_00060T0	1044	881.202	279	41.8186
CLUG_00061T0	960	663.889	134	26.6594
CLUG_00062T0	1170	651.225	159	32.2483
CLUG_00063T0	3522	3282.2	289	11.6299
CLUG_00064T0	870	459.001	444	127.765
CLUG_00065T0	1035	506.542	280	73.0102
CLUG_00066T0	2259	1491.4	438	38.79
CLUG_00067T0	513	256.551	29	14.9302
CLUG_00068T0	1251	1003.38	75	9.87269
CLUG_00069T0	1290	1024.02	531	68.4902
CLUG_00070T0	804	791.694	163	27.1939
CLUG_00071T0	1314	753.21	333	58.3941
CLUG_00072T0	2151	1684.47	394	30.8939
CLUG_00073T0	4293	4072.13	1942	62.9895
CLUG_00074T0	1359	892.814	642	94.9763
CLUG_00075T0	990	520.443	783	198.714
CLUG_00076T0	693	349.337	198	74.8622
CLUG_00077T0	1938	1210.32	401	43.7607
CLUG_00078T0	1086	625.048	2311	488.346
CLUG_00079T0	420	212.593	31	19.2599
CLUG_00080T0	2019	1307.44	876	88.496
CLUG_00081T0	1542	908.239	414	60.2062
CLUG_00082T0	1464	945.353	303	42.3341
CLUG_00083T0	1581	974.37	447	60.5933
CLUG_00084T0	792	395.977	405	135.091
CLUG_00085T0	723	368.275	765	274.366
CLUG_00086T0	1629	1357.58	3271	318.24
CLUG_00087T0	1977	1373.19	952	91.5685
CLUG_00088T0	3246	2883.82	1125	51.5259
CLUG_00089T0	2217	1782.89	161	11.9273
CLUG_00090T0	1011	516.457	1214	310.474
CLUG_00091T0	960	546.363	243	58.7443
CLUG_00092T0	450	224.737	261	153.393
CLUG_00093T0	1197	649.076	1987	404.337
CLUG_00094T0	555	277.926	286	135.918
CLUG_00095T0	1509	1095.01	417	50.2988
CLUG_00096T0	1032	531.861	323	80.2131
CLUG_00097T0	2691	2261.86	957	55.8839
CLUG_00098T0	1398	866.205	736	112.227
CLUG_00099T0	1839	1310.59	871	87.7796
CLUG_00100T0	852	434.455	139	42.2582
CLUG_00101T0	1290	935.155	369	52.1175
CLUG_00102T0	522	261.119	115	58.1702
CLUG_00103T0	807	410.009	615	198.118
CLUG_00104T0	570	285.597	112	51.7971
CLUG_00105T0	1662	1091.25	923	111.717
CLUG_00106T0	2946	2219.24	274	16.3075
CLUG_00107T0	690	347.762	192	72.9222
CLUG_00108T0	501	252.095	309	161.896
CLUG_00109T0	1842	1331.05	136	13.4954
CLUG_00110T0	495	247.432	319	170.284
CLUG_00111T0	1737	1105.22	445	53.1806
CLUG_00112T0	621	311.834	468	198.227
CLUG_00113T0	894	481.387	255	69.9659
CLUG_00114T0	687	355.317	471.57	175.296
CLUG_00115T0	666	344.771	250.43	95.9392
CLUG_00116T0	3180	2207.88	1017	60.8397
CLUG_00117T0	2385	2123.59	777	48.3273
CLUG_00118T0	2070	1520.47	1140	99.0301
CLUG_00119T0	891	502.874	131	34.4075
CLUG_00120T0	1467	1403.27	433	40.7557
CLUG_00121T0	2064	1608.04	886	72.7744
